name,description,tessellate,WKT
CUP19-0013,Conditional Use Permit to allow an educational institution / learning center in an existing tenant building.  Located at 1057 Tierra del Rey.  Project Planer: Genavieve Hernandez ghernandez@chulavistaca.gov,,POINT Z (-117.0166489 32.6385774 0)
CUP20-0014,Conditional Use Permit for Alcohol Beverage License at a Proposed Market located within the Escaya mixed-use Village Center.  Project Planner: Janice Kluth. jkluth@chulavistaca.gov,,POINT Z (-117.0004746 32.5993896 0)
CUP22-0007,Conditional Use Permit (CUP) to allow a religious institution use in a Limited Industrial Zone.  Project Planner: Tanairi Romano tromano@chulavistaca.gov,,POINT Z (-117.086562 32.654169 0)
CUP21-0009,"Conditional Use Permit to allow a major auto repair use within the entirety of an existing 6,470 sq. ft. of light industrial building.                      Project Planner: Caroline Young, cyoung@chulavistaca.gov",,POINT Z (-117.0901188 32.6139025 0)
CUP22-0012,Conditional Use Permit to operate an urban container park. Project Manager Arturo Ortuno. aortuno@chulavistaca.gov,,POINT Z (-117.0352157 32.6647079 0)
CUP22-0025,"Conditional Use Permit (CUP) to allow three additional suites for classroom use at an existing educational facility, along with minor site improvements.  Project Planner: Jeff Steichen jsteichen@chulavistaca.gov",,POINT Z (-116.9656182 32.6525465 0)
CUP22-0033,Conditional Use Permit to allow the sale of beer and wine for off-site consumption at an existing convenience store Project Manager Amy DeNinno adeninno@chulavistaca.gov,,POINT Z (-117.0395721 32.6047951 0)
CUP22-0042,Conditional Use Permit to allow the use of a private charter school (TK-12) with up to 800 students and 68 employees. Project Manager Stan Donn sdonn@chulavistaca.gov,,POINT Z (-116.9639909 32.6524016 0)
CUP22-0050,"Conditional Use Permit (CUP) request revising a previously approved mixed-use project. The request would increase the number of units to 56, change the residential use from an apartment complex to a senior housing development. Project Planner: Caroline Young cyoung@chulavistaca.gov",,POINT Z (-117.0820055 32.6453181 0)
CUP23-0003,Conditional Use Permit (CUP) to allow alcohol sales in a proposed restaurant. Project Planner: Oscar Romero. oromero@chulavistaca.gov,,POINT Z (-117.0006482 32.6000423 0)
"CUP22-0043, DR22-0028",Conditional Use Permit and Design Review Permit to relocate an existing Costco Gas Station. Project Manager: Chris Mallec. cmallec@chulavistaca.gov,,POINT Z (-117.083403 32.6084408 0)
DR18-0029,General Development Plan Amendment to change the existing land use/zoning designation.  Project Planer: Jeff Steichen jsteichen@chulavistaca.gov,,POINT Z (-116.9662327 32.6360339 0)
DR19-0006,"Proposing the expansion of two existing buildings.  Project Planner: Jeff Steichen, jsteichen@chulavistaca.gov",,POINT Z (-117.1013264 32.6346905 0)
DR20-0023,Design Review Permit to allow the conversion of an existing single-family residence into a 4-unit apartment complex. Project Manager: Arturo Ortuno aortuno@chulavistaca.gov ,,POINT Z (-117.0760295 32.6044382 0)
DR20-0027,The Project proposes to redevelop the existing site by removing an existing single-family residence and garage and replacing them with a multifamily development consisting of four twostory duplexes.  Project Planner jsteichen@chulavistaca.gov,,POINT Z (-117.0539209 32.6053276 0)
"DR21-0001, DR21-0011, 12, 13, 14 & 15",Design Review Permits to allow for development of 718 multi-family units in six residential neighborhoods. Project Manager: Jeff Steichen jsteichen@chulavistaca.gov ,,POINT Z (-117.0145258 32.6092345 0)
DR21-0009,"Design Review Permit to allow for construction of a 108,205 square-foot building on Lots 10 & 11 (Otay River Business Park). 2855 Faivre St Project Planner: Jeff Steichen jsteichen@chulavistaca.gov",,POINT Z (-117.0701555 32.592755 0)
DR21-0024,Design Review permit proposing to develop 3 industrial buildings                                            Project Planner: Oscar Romero oromero@chulavistaca.gov,,POINT Z (-117.0133491 32.5942376 0)
DR21-0030,577 Fourth Ave.                                                    Design Review Permit to allow the development of an 8-unit apartment with two 4-plex buildings Project Planner Stann Donn  sdonn@chulavistaca.gov,,POINT Z (-117.0799124 32.6305465 0)
DR21-0032,"Design Review permit proposing to develop a 180,000 square-foot industrial building.                                    Project Planner: Oscar Romero oromero@chulavistaca.gov",,POINT Z (-117.0314112 32.5971865 0)
DR21-0035,"Design Review to construct a 4-story, 10,743 sq. ft. commercial building. Project Manager: Caroline Young cyoung@chulavistaca.gov",,POINT Z (-117.0722066 32.620758 0)
DR22-0004,"Design Review (DR) New development of three, two-story buildings with office and retail use. Project Planner: Tanairi Romano tromano@chulavistaca.gov",,POINT Z (-117.0894063 32.6314197 0)
DR22-0010,Design Review Permit for a remodel to an existing hotel (Holiday Inn Express). Project Manager Tanairi Romano tromano@chulavistaca.gov,,POINT Z (-117.0949912 32.6404828 0)
DR22-0011,"Design Review for Otay Ranch Village 3 - Parcels R-6 and R-20, for multi-family residential.  Project Manager: Janice Kluth jkluth@chulavistaca.gov",,POINT Z (-116.9982481 32.5938789 0)
DR22-0012,"Design Review to construct a proposed mixed-use project consisting of 487 residential apartment units, 97 affordable residential apartment units on Otay Ranch V2. Project Manager: Caroline Young. cyoung@chulavistaca.gov",,POINT Z (-116.9857899 32.6166967 0)
DR22-0015,Design Review (DR) permit to allow the construction of 49 attached condominium units on a 2.03-acre parcel in District 5 .              Project Planner: Jeff Steichen jsteichen@chulavistaca.gov,,POINT Z (-116.9671577 32.6146598 0)
